scenario,t,value
drift_gradual,0,0.1873534
drift_gradual,1,0.1031538
drift_gradual,2,0.2949191
drift_gradual,3,-0.2321749
drift_gradual,4,-0.03980402
drift_gradual,5,-0.06937821
drift_gradual,6,-0.2960524
drift_gradual,7,0.1590491
drift_gradual,8,-0.04055948
drift_gradual,9,0.1109447
drift_gradual,10,0.3539658
drift_gradual,11,-0.05298655
drift_gradual,12,-0.06317295
drift_gradual,13,0.01779963
drift_gradual,14,0.1480871
drift_gradual,15,-0.08500695
drift_gradual,16,-0.09464424
drift_gradual,17,0.1585784
drift_gradual,18,0.0567959
drift_gradual,19,-0.3067092
drift_gradual,20,-0.1838088
drift_gradual,21,0.2251854
drift_gradual,22,0.06028924
drift_gradual,23,-0.1143294
drift_gradual,24,-0.02556145
drift_gradual,25,0.001985501
drift_gradual,26,0.11036
drift_gradual,27,-0.2037395
drift_gradual,28,-0.1261424
drift_gradual,29,0.04094336
drift_gradual,30,-0.01497519
drift_gradual,31,0.08577888
drift_gradual,32,-0.1844261
drift_gradual,33,0.0535693
drift_gradual,34,0.1637375
drift_gradual,35,0.07302278
drift_gradual,36,0.02086676
drift_gradual,37,-0.01438254
drift_gradual,38,-0.1252277
drift_gradual,39,-0.01079979
drift_gradual,40,0.1889559
drift_gradual,41,-0.01785428
drift_gradual,42,-0.1334706
drift_gradual,43,-0.07383706
drift_gradual,44,0.03012754
drift_gradual,45,-0.0560271
drift_gradual,46,0.07279549
drift_gradual,47,0.07842656
drift_gradual,48,0.1333475
drift_gradual,49,0.2135339
drift_gradual,50,0.1493788
drift_gradual,51,-0.1401359
drift_gradual,52,-0.1355302
drift_gradual,53,-0.01136572
drift_gradual,54,-0.0676763
drift_gradual,55,-0.170749
drift_gradual,56,-0.06625377
drift_gradual,57,-0.07117694
drift_gradual,58,-0.1007772
drift_gradual,59,-0.04736842
drift_gradual,60,0.1767676
drift_gradual,61,0.02988571
drift_gradual,62,0.3707714
drift_gradual,63,0.02557623
drift_gradual,64,-0.04350987
drift_gradual,65,0.0006199324
drift_gradual,66,0.0384738
drift_gradual,67,0.06528809
drift_gradual,68,0.3115067
drift_gradual,69,-0.1267981
drift_gradual,70,0.1288569
drift_gradual,71,0.03116259
drift_gradual,72,-0.2356647
drift_gradual,73,0.1156048
drift_gradual,74,0.1901435
drift_gradual,75,-0.1285765
drift_gradual,76,-0.00134008
drift_gradual,77,-0.2588031
drift_gradual,78,-0.188821
drift_gradual,79,0.1572044
drift_gradual,80,-0.06996248
drift_gradual,81,-0.1663204
drift_gradual,82,0.03441905
drift_gradual,83,-0.07836186
drift_gradual,84,-0.07062325
drift_gradual,85,0.1108989
drift_gradual,86,-0.17426
drift_gradual,87,-0.1358048
drift_gradual,88,0.023112
drift_gradual,89,0.1454115
drift_gradual,90,0.185724
drift_gradual,91,-0.09975926
drift_gradual,92,0.1406065
drift_gradual,93,-0.1176213
drift_gradual,94,0.2739314
drift_gradual,95,-0.1700657
drift_gradual,96,0.1992718
drift_gradual,97,-0.09847292
drift_gradual,98,0.301987
drift_gradual,99,0.08869811
drift_gradual,100,-0.1524025
drift_gradual,101,-0.07833577
drift_gradual,102,0.1171772
drift_gradual,103,0.1578967
drift_gradual,104,-0.01060734
drift_gradual,105,0.006698742
drift_gradual,106,0.113753
drift_gradual,107,0.01976976
drift_gradual,108,-0.1940257
drift_gradual,109,-0.1219461
drift_gradual,110,0.03526799
drift_gradual,111,0.1823224
drift_gradual,112,0.2423974
drift_gradual,113,0.1169294
drift_gradual,114,0.04309361
drift_gradual,115,0.1123221
drift_gradual,116,-0.1000126
drift_gradual,117,-0.02298464
drift_gradual,118,-0.1236196
drift_gradual,119,-0.1873114
drift_gradual,120,0.05003235
drift_gradual,121,0.027827
drift_gradual,122,0.1031479
drift_gradual,123,0.08191677
drift_gradual,124,0.03639664
drift_gradual,125,0.0834925
drift_gradual,126,-0.006402464
drift_gradual,127,0.06193371
drift_gradual,128,-0.1089217
drift_gradual,129,0.05545589
drift_gradual,130,0.1002627
drift_gradual,131,-0.1004522
drift_gradual,132,0.007774815
drift_gradual,133,-0.09354038
drift_gradual,134,-0.078976
drift_gradual,135,-0.1687394
drift_gradual,136,0.1898662
drift_gradual,137,0.1598528
drift_gradual,138,0.08061508
drift_gradual,139,0.2958294
drift_gradual,140,-0.02838685
drift_gradual,141,0.4547644
drift_gradual,142,-0.03412941
drift_gradual,143,0.038279
drift_gradual,144,-0.05966669
drift_gradual,145,0.05584883
drift_gradual,146,0.1253422
drift_gradual,147,-0.01708746
drift_gradual,148,0.266508
drift_gradual,149,0.03587239
drift_gradual,150,0.04057281
drift_gradual,151,-0.1363497
drift_gradual,152,0.06277486
drift_gradual,153,-0.02010408
drift_gradual,154,-0.09123596
drift_gradual,155,-0.1164712
drift_gradual,156,0.4007645
drift_gradual,157,-0.03952159
drift_gradual,158,-0.2185478
drift_gradual,159,-0.1047332
drift_gradual,160,-0.007735176
drift_gradual,161,0.08200005
drift_gradual,162,0.08321948
drift_gradual,163,0.1014922
drift_gradual,164,-0.09672905
drift_gradual,165,0.05106607
drift_gradual,166,-0.1314089
drift_gradual,167,-0.09294645
drift_gradual,168,-0.1376563
drift_gradual,169,-0.1782583
drift_gradual,170,0.1596314
drift_gradual,171,0.1032918
drift_gradual,172,0.1464998
drift_gradual,173,0.00589696
drift_gradual,174,0.1165212
drift_gradual,175,-0.2641934
drift_gradual,176,0.1294631
drift_gradual,177,0.02656797
drift_gradual,178,0.09406644
drift_gradual,179,0.05700349
drift_gradual,180,-0.1480583
drift_gradual,181,-0.224706
drift_gradual,182,-0.1068081
drift_gradual,183,0.08473759
drift_gradual,184,0.1035137
drift_gradual,185,-0.2051913
drift_gradual,186,-0.1471649
drift_gradual,187,-0.1084854
drift_gradual,188,-0.05359576
drift_gradual,189,-0.2043076
drift_gradual,190,-0.2133078
drift_gradual,191,-0.1232753
drift_gradual,192,0.01293808
drift_gradual,193,-0.1770892
drift_gradual,194,-0.01737053
drift_gradual,195,0.1587829
drift_gradual,196,-0.195267
drift_gradual,197,-0.03096686
drift_gradual,198,0.1537135
drift_gradual,199,-0.06274026
drift_gradual,200,-0.08605045
drift_gradual,201,0.1745244
drift_gradual,202,-0.04593031
drift_gradual,203,0.1656743
drift_gradual,204,0.06434481
drift_gradual,205,-0.0514267
drift_gradual,206,0.07195358
drift_gradual,207,0.04806743
drift_gradual,208,0.1531324
drift_gradual,209,-0.08225183
drift_gradual,210,0.00618091
drift_gradual,211,-0.009227352
drift_gradual,212,0.1056222
drift_gradual,213,-0.1537769
drift_gradual,214,0.1525466
drift_gradual,215,0.06994932
drift_gradual,216,-0.1975388
drift_gradual,217,0.1812394
